month,rv,log_rv,NPI,ANP,SNP,NPI2,log_rv_lag1,log_rv_lag2,log_rv_lag3,log_rv_lag4,log_rv_lag5,log_rv_lag6,log_rv_lag7,log_rv_lag8,log_rv_lag9,log_rv_lag10,log_rv_lag11,log_rv_lag12
2010-05-31,0.004326582798441211,-5.442977240589631,0.0,0.0,0.0,0.0,-6.50008004836539,-6.629660052005783,-5.7876924212981775,-5.960306953401046,-6.769354053951441,-5.378636112374215,-5.8090394015490965,-6.094718005959051,-6.04042631623571,-5.620901115451056,-5.4983763922796,-5.670672001172296
2010-06-30,0.0017386977120864774,-6.354618887307351,0.0,0.0,0.0,0.0,-5.442977240589631,-6.50008004836539,-6.629660052005783,-5.7876924212981775,-5.960306953401046,-6.769354053951441,-5.378636112374215,-5.8090394015490965,-6.094718005959051,-6.04042631623571,-5.620901115451056,-5.4983763922796
2010-07-31,0.0012489686887288832,-6.685437117225082,0.0,0.0,0.0,0.0,-6.354618887307351,-5.442977240589631,-6.50008004836539,-6.629660052005783,-5.7876924212981775,-5.960306953401046,-6.769354053951441,-5.378636112374215,-5.8090394015490965,-6.094718005959051,-6.04042631623571,-5.620901115451056
2010-08-31,0.0018786046624466575,-6.2772259785339175,0.0,0.0,0.0,0.0,-6.685437117225082,-6.354618887307351,-5.442977240589631,-6.50008004836539,-6.629660052005783,-5.7876924212981775,-5.960306953401046,-6.769354053951441,-5.378636112374215,-5.8090394015490965,-6.094718005959051,-6.04042631623571
2010-09-30,0.0007892900260800267,-7.144376717741734,0.0,0.0,0.0,0.0,-6.2772259785339175,-6.685437117225082,-6.354618887307351,-5.442977240589631,-6.50008004836539,-6.629660052005783,-5.7876924212981775,-5.960306953401046,-6.769354053951441,-5.378636112374215,-5.8090394015490965,-6.094718005959051
2010-10-31,0.001306487644985228,-6.640412929622964,0.0,0.0,0.0,0.0,-7.144376717741734,-6.2772259785339175,-6.685437117225082,-6.354618887307351,-5.442977240589631,-6.50008004836539,-6.629660052005783,-5.7876924212981775,-5.960306953401046,-6.769354053951441,-5.378636112374215,-5.8090394015490965
2010-11-30,0.0019032383121661972,-6.264198468783963,0.0,0.0,0.0,0.0,-6.640412929622964,-7.144376717741734,-6.2772259785339175,-6.685437117225082,-6.354618887307351,-5.442977240589631,-6.50008004836539,-6.629660052005783,-5.7876924212981775,-5.960306953401046,-6.769354053951441,-5.378636112374215
2010-12-31,0.0009642726213976234,-6.9441365010550635,0.0,0.0,0.0,0.0,-6.264198468783963,-6.640412929622964,-7.144376717741734,-6.2772259785339175,-6.685437117225082,-6.354618887307351,-5.442977240589631,-6.50008004836539,-6.629660052005783,-5.7876924212981775,-5.960306953401046,-6.769354053951441
2011-01-31,0.0012250524163156527,-6.704771647071758,0.0,0.0,0.0,0.0,-6.9441365010550635,-6.264198468783963,-6.640412929622964,-7.144376717741734,-6.2772259785339175,-6.685437117225082,-6.354618887307351,-5.442977240589631,-6.50008004836539,-6.629660052005783,-5.7876924212981775,-5.960306953401046
2011-02-28,0.0021924332745756406,-6.12274326766992,0.0,0.0,0.0,0.0,-6.704771647071758,-6.9441365010550635,-6.264198468783963,-6.640412929622964,-7.144376717741734,-6.2772259785339175,-6.685437117225082,-6.354618887307351,-5.442977240589631,-6.50008004836539,-6.629660052005783,-5.7876924212981775
2011-03-31,0.0029525448201642886,-5.825087829596703,0.0,0.0,0.0,0.0,-6.12274326766992,-6.704771647071758,-6.9441365010550635,-6.264198468783963,-6.640412929622964,-7.144376717741734,-6.2772259785339175,-6.685437117225082,-6.354618887307351,-5.442977240589631,-6.50008004836539,-6.629660052005783
2011-04-30,0.0015337414753424214,-6.48004512000355,0.0,0.0,0.0,0.0,-5.825087829596703,-6.12274326766992,-6.704771647071758,-6.9441365010550635,-6.264198468783963,-6.640412929622964,-7.144376717741734,-6.2772259785339175,-6.685437117225082,-6.354618887307351,-5.442977240589631,-6.50008004836539
2011-05-31,0.0042572416566338984,-5.459133826861255,0.0,0.0,0.0,0.0,-6.48004512000355,-5.825087829596703,-6.12274326766992,-6.704771647071758,-6.9441365010550635,-6.264198468783963,-6.640412929622964,-7.144376717741734,-6.2772259785339175,-6.685437117225082,-6.354618887307351,-5.442977240589631
2011-06-30,0.002017418618531125,-6.205936496412632,0.0,0.0,0.0,0.0,-5.459133826861255,-6.48004512000355,-5.825087829596703,-6.12274326766992,-6.704771647071758,-6.9441365010550635,-6.264198468783963,-6.640412929622964,-7.144376717741734,-6.2772259785339175,-6.685437117225082,-6.354618887307351
2011-07-31,0.0017709131775478983,-6.33625994591853,0.0,0.0,0.0,0.0,-6.205936496412632,-5.459133826861255,-6.48004512000355,-5.825087829596703,-6.12274326766992,-6.704771647071758,-6.9441365010550635,-6.264198468783963,-6.640412929622964,-7.144376717741734,-6.2772259785339175,-6.685437117225082
2011-08-31,0.016658730100743206,-4.094820869593857,0.0,0.0,0.0,0.0,-6.33625994591853,-6.205936496412632,-5.459133826861255,-6.48004512000355,-5.825087829596703,-6.12274326766992,-6.704771647071758,-6.9441365010550635,-6.264198468783963,-6.640412929622964,-7.144376717741734,-6.2772259785339175
2011-09-30,0.015242827305664232,-4.183646227185739,0.0,0.0,0.0,0.0,-4.094820869593857,-6.33625994591853,-6.205936496412632,-5.459133826861255,-6.48004512000355,-5.825087829596703,-6.12274326766992,-6.704771647071758,-6.9441365010550635,-6.264198468783963,-6.640412929622964,-7.144376717741734
2011-10-31,0.006864768283081052,-4.981352993706799,0.0,0.0,0.0,0.0,-4.183646227185739,-4.094820869593857,-6.33625994591853,-6.205936496412632,-5.459133826861255,-6.48004512000355,-5.825087829596703,-6.12274326766992,-6.704771647071758,-6.9441365010550635,-6.264198468783963,-6.640412929622964
2011-11-30,0.007766290556705852,-4.857962634426389,0.0,0.0,0.0,0.0,-4.981352993706799,-4.183646227185739,-4.094820869593857,-6.33625994591853,-6.205936496412632,-5.459133826861255,-6.48004512000355,-5.825087829596703,-6.12274326766992,-6.704771647071758,-6.9441365010550635,-6.264198468783963
2011-12-31,0.005571612778480856,-5.190070719650111,0.0,0.0,0.0,0.0,-4.857962634426389,-4.981352993706799,-4.183646227185739,-4.094820869593857,-6.33625994591853,-6.205936496412632,-5.459133826861255,-6.48004512000355,-5.825087829596703,-6.12274326766992,-6.704771647071758,-6.9441365010550635
2012-01-31,0.0024043886165467316,-6.030459621236223,0.0,0.0,0.0,0.0,-5.190070719650111,-4.857962634426389,-4.981352993706799,-4.183646227185739,-4.094820869593857,-6.33625994591853,-6.205936496412632,-5.459133826861255,-6.48004512000355,-5.825087829596703,-6.12274326766992,-6.704771647071758
2012-02-29,0.0015723431230791351,-6.45518833711408,0.0,0.0,0.0,0.0,-6.030459621236223,-5.190070719650111,-4.857962634426389,-4.981352993706799,-4.183646227185739,-4.094820869593857,-6.33625994591853,-6.205936496412632,-5.459133826861255,-6.48004512000355,-5.825087829596703,-6.12274326766992
2012-03-31,0.0010059409110393844,-6.901831945571015,0.017584107834575004,0.0,0.017584107834575004,1.0,-6.45518833711408,-6.030459621236223,-5.190070719650111,-4.857962634426389,-4.981352993706799,-4.183646227185739,-4.094820869593857,-6.33625994591853,-6.205936496412632,-5.459133826861255,-6.48004512000355,-5.825087829596703
2012-04-30,0.0012068661594747921,-6.719728229945731,0.0,0.0,0.0,0.0,-6.901831945571015,-6.45518833711408,-6.030459621236223,-5.190070719650111,-4.857962634426389,-4.981352993706799,-4.183646227185739,-4.094820869593857,-6.33625994591853,-6.205936496412632,-5.459133826861255,-6.48004512000355
2012-05-31,0.003640073736242203,-5.615751340329266,0.0,0.0,0.0,0.0,-6.719728229945731,-6.901831945571015,-6.45518833711408,-6.030459621236223,-5.190070719650111,-4.857962634426389,-4.981352993706799,-4.183646227185739,-4.094820869593857,-6.33625994591853,-6.205936496412632,-5.459133826861255
2012-06-30,0.0034994608101683857,-5.655146376591946,0.0,0.0,0.0,0.0,-5.615751340329266,-6.719728229945731,-6.901831945571015,-6.45518833711408,-6.030459621236223,-5.190070719650111,-4.857962634426389,-4.981352993706799,-4.183646227185739,-4.094820869593857,-6.33625994591853,-6.205936496412632
