month,feature_set,model,lasso__alpha,svr__C,svr__epsilon,svr__kernel,hgb__l2_regularization,hgb__learning_rate,hgb__max_depth,hgb__max_iter,svr__gamma
2021-09-30,oil_augmented,XGBoost,,,,,10.0,0.1,1.0,200.0,
2021-10-31,oil_augmented,MLR,,,,,,,,,
2021-10-31,oil_augmented,LASSO,0.029836472402833405,,,,,,,,
2021-10-31,oil_augmented,SVR,,10.0,0.05,linear,,,,,
2021-10-31,oil_augmented,XGBoost,,,,,10.0,0.1,1.0,200.0,
2021-11-30,oil_augmented,MLR,,,,,,,,,
2021-11-30,oil_augmented,LASSO,0.029836472402833405,,,,,,,,
2021-11-30,oil_augmented,SVR,,10.0,0.05,linear,,,,,
2021-11-30,oil_augmented,XGBoost,,,,,1.0,0.03,2.0,200.0,
2021-12-31,oil_augmented,MLR,,,,,,,,,
2021-12-31,oil_augmented,LASSO,0.029836472402833405,,,,,,,,
2021-12-31,oil_augmented,SVR,,10.0,0.1,linear,,,,,
2021-12-31,oil_augmented,XGBoost,,,,,1.0,0.1,3.0,50.0,
2022-01-31,oil_augmented,MLR,,,,,,,,,
2022-01-31,oil_augmented,LASSO,0.026560877829466867,,,,,,,,
2022-01-31,oil_augmented,SVR,,10.0,0.1,linear,,,,,
2022-01-31,oil_augmented,XGBoost,,,,,1.0,0.03,2.0,200.0,
2022-02-28,oil_augmented,MLR,,,,,,,,,
2022-02-28,oil_augmented,LASSO,0.026560877829466867,,,,,,,,
2022-02-28,oil_augmented,SVR,,10.0,0.05,linear,,,,,
2022-02-28,oil_augmented,XGBoost,,,,,1.0,0.03,2.0,200.0,
2022-03-31,oil_augmented,MLR,,,,,,,,,
2022-03-31,oil_augmented,LASSO,0.023644894126454073,,,,,,,,
2022-03-31,oil_augmented,SVR,,1.0,0.1,linear,,,,,
2022-03-31,oil_augmented,XGBoost,,,,,1.0,0.05,2.0,200.0,
2022-04-30,oil_augmented,MLR,,,,,,,,,
2022-04-30,oil_augmented,LASSO,0.023644894126454073,,,,,,,,
2022-04-30,oil_augmented,SVR,,1.0,0.1,linear,,,,,
2022-04-30,oil_augmented,XGBoost,,,,,1.0,0.05,2.0,200.0,
2022-05-31,oil_augmented,MLR,,,,,,,,,
2022-05-31,oil_augmented,LASSO,0.029836472402833405,,,,,,,,
2022-05-31,oil_augmented,SVR,,10.0,0.05,linear,,,,,
2022-05-31,oil_augmented,XGBoost,,,,,1.0,0.03,2.0,200.0,
2022-06-30,oil_augmented,MLR,,,,,,,,,
2022-06-30,oil_augmented,LASSO,0.0014508287784959402,,,,,,,,
2022-06-30,oil_augmented,SVR,,10.0,0.2,linear,,,,,
2022-06-30,oil_augmented,XGBoost,,,,,1.0,0.1,2.0,50.0,
2022-07-31,oil_augmented,MLR,,,,,,,,,
2022-07-31,oil_augmented,LASSO,0.004132012400115334,,,,,,,,
2022-07-31,oil_augmented,SVR,,10.0,0.05,linear,,,,,
2022-07-31,oil_augmented,XGBoost,,,,,1.0,0.1,2.0,50.0,
2022-08-31,oil_augmented,MLR,,,,,,,,,
2022-08-31,oil_augmented,LASSO,0.0032745491628777285,,,,,,,,
2022-08-31,oil_augmented,SVR,,1.0,0.2,linear,,,,,
2022-08-31,oil_augmented,XGBoost,,,,,1.0,0.1,2.0,50.0,
2022-09-30,oil_augmented,MLR,,,,,,,,,
2022-09-30,oil_augmented,LASSO,0.013219411484660288,,,,,,,,
2022-09-30,oil_augmented,SVR,,10.0,0.05,linear,,,,,
2022-09-30,oil_augmented,XGBoost,,,,,1.0,0.05,3.0,50.0,
2022-10-31,oil_augmented,MLR,,,,,,,,,
2022-10-31,oil_augmented,LASSO,0.06734150657750822,,,,,,,,
2022-10-31,oil_augmented,SVR,,10.0,0.05,linear,,,,,
2022-10-31,oil_augmented,XGBoost,,,,,1.0,0.05,3.0,50.0,
2022-11-30,oil_augmented,MLR,,,,,,,,,
2022-11-30,oil_augmented,LASSO,0.05994842503189409,,,,,,,,
2022-11-30,oil_augmented,SVR,,10.0,0.1,linear,,,,,
2022-11-30,oil_augmented,XGBoost,,,,,1.0,0.03,2.0,200.0,
2022-12-31,oil_augmented,MLR,,,,,,,,,
2022-12-31,oil_augmented,LASSO,0.06734150657750822,,,,,,,,
2022-12-31,oil_augmented,SVR,,10.0,0.05,linear,,,,,
2022-12-31,oil_augmented,XGBoost,,,,,1.0,0.1,2.0,50.0,
2023-01-31,oil_augmented,MLR,,,,,,,,,
2023-01-31,oil_augmented,LASSO,0.037649358067924674,,,,,,,,
2023-01-31,oil_augmented,SVR,,10.0,0.1,linear,,,,,
2023-01-31,oil_augmented,XGBoost,,,,,1.0,0.05,3.0,50.0,
2023-02-28,oil_augmented,MLR,,,,,,,,,
2023-02-28,oil_augmented,LASSO,0.037649358067924674,,,,,,,,
2023-02-28,oil_augmented,SVR,,1.0,0.2,linear,,,,,
2023-02-28,oil_augmented,XGBoost,,,,,1.0,0.05,2.0,100.0,
2023-03-31,oil_augmented,MLR,,,,,,,,,
2023-03-31,oil_augmented,LASSO,0.037649358067924674,,,,,,,,
2023-03-31,oil_augmented,SVR,,10.0,0.2,linear,,,,,
2023-03-31,oil_augmented,XGBoost,,,,,5.0,0.1,1.0,200.0,
2023-04-30,oil_augmented,MLR,,,,,,,,,
2023-04-30,oil_augmented,LASSO,0.03351602650938841,,,,,,,,
2023-04-30,oil_augmented,SVR,,1.0,0.2,linear,,,,,
2023-04-30,oil_augmented,XGBoost,,,,,5.0,0.1,1.0,200.0,
2023-05-31,oil_augmented,MLR,,,,,,,,,
2023-05-31,oil_augmented,LASSO,0.026560877829466867,,,,,,,,
2023-05-31,oil_augmented,SVR,,10.0,0.05,linear,,,,,
2023-05-31,oil_augmented,XGBoost,,,,,1.0,0.1,1.0,200.0,
2023-06-30,oil_augmented,MLR,,,,,,,,,
2023-06-30,oil_augmented,LASSO,0.026560877829466867,,,,,,,,
2023-06-30,oil_augmented,SVR,,1.0,0.2,linear,,,,,
2023-06-30,oil_augmented,XGBoost,,,,,1.0,0.1,1.0,200.0,
2023-07-31,oil_augmented,MLR,,,,,,,,,
2023-07-31,oil_augmented,LASSO,0.029836472402833405,,,,,,,,
2023-07-31,oil_augmented,SVR,,10.0,0.2,linear,,,,,
2023-07-31,oil_augmented,XGBoost,,,,,10.0,0.05,2.0,100.0,
2023-08-31,oil_augmented,MLR,,,,,,,,,
2023-08-31,oil_augmented,LASSO,0.06734150657750822,,,,,,,,
2023-08-31,oil_augmented,SVR,,0.1,0.2,linear,,,,,
2023-08-31,oil_augmented,XGBoost,,,,,1.0,0.03,2.0,100.0,
2023-09-30,oil_augmented,MLR,,,,,,,,,
2023-09-30,oil_augmented,LASSO,0.05994842503189409,,,,,,,,
2023-09-30,oil_augmented,SVR,,10.0,0.2,linear,,,,,
2023-09-30,oil_augmented,XGBoost,,,,,1.0,0.03,2.0,100.0,
2023-10-31,oil_augmented,MLR,,,,,,,,,
2023-10-31,oil_augmented,LASSO,0.06734150657750822,,,,,,,,
2023-10-31,oil_augmented,SVR,,0.1,0.2,linear,,,,,
2023-10-31,oil_augmented,XGBoost,,,,,10.0,0.1,1.0,50.0,
2023-11-30,oil_augmented,MLR,,,,,,,,,
2023-11-30,oil_augmented,LASSO,0.09545484566618337,,,,,,,,
2023-11-30,oil_augmented,SVR,,10.0,0.05,linear,,,,,
2023-11-30,oil_augmented,XGBoost,,,,,10.0,0.1,2.0,50.0,
2023-12-31,oil_augmented,MLR,,,,,,,,,
2023-12-31,oil_augmented,LASSO,0.08497534359086438,,,,,,,,
2023-12-31,oil_augmented,SVR,,0.1,0.2,linear,,,,,
2023-12-31,oil_augmented,XGBoost,,,,,1.0,0.05,2.0,100.0,
2024-01-31,oil_augmented,MLR,,,,,,,,,
2024-01-31,oil_augmented,LASSO,0.07564633275546291,,,,,,,,
2024-01-31,oil_augmented,SVR,,10.0,0.2,linear,,,,,
2024-01-31,oil_augmented,XGBoost,,,,,1.0,0.1,2.0,50.0,
2024-02-29,oil_augmented,MLR,,,,,,,,,
2024-02-29,oil_augmented,LASSO,0.01873817422860383,,,,,,,,
2024-02-29,oil_augmented,SVR,,10.0,0.2,linear,,,,,
2024-02-29,oil_augmented,XGBoost,,,,,10.0,0.1,1.0,100.0,
2024-03-31,oil_augmented,MLR,,,,,,,,,
2024-03-31,oil_augmented,LASSO,0.010476157527896652,,,,,,,,
2024-03-31,oil_augmented,SVR,,10.0,0.2,linear,,,,,
2024-03-31,oil_augmented,XGBoost,,,,,10.0,0.05,1.0,200.0,
2024-04-30,oil_augmented,MLR,,,,,,,,,
2024-04-30,oil_augmented,LASSO,0.013219411484660288,,,,,,,,
2024-04-30,oil_augmented,SVR,,10.0,0.1,linear,,,,,
2024-04-30,oil_augmented,XGBoost,,,,,10.0,0.1,1.0,100.0,
2024-05-31,oil_augmented,MLR,,,,,,,,,
2024-05-31,oil_augmented,LASSO,0.010476157527896652,,,,,,,,
2024-05-31,oil_augmented,SVR,,10.0,0.05,linear,,,,,
2024-05-31,oil_augmented,XGBoost,,,,,10.0,0.1,1.0,100.0,
2024-06-30,oil_augmented,MLR,,,,,,,,,
2024-06-30,oil_augmented,LASSO,0.013219411484660288,,,,,,,,
2024-06-30,oil_augmented,SVR,,0.1,0.2,linear,,,,,
2024-06-30,oil_augmented,XGBoost,,,,,1.0,0.05,1.0,100.0,
2024-07-31,oil_augmented,MLR,,,,,,,,,
2024-07-31,oil_augmented,LASSO,0.011768119524349979,,,,,,,,
2024-07-31,oil_augmented,SVR,,10.0,0.2,linear,,,,,
2024-07-31,oil_augmented,XGBoost,,,,,1.0,0.03,3.0,100.0,
